canonical_smi,lambda_max_exp_nm,n_solvent_records,mw,LargestConjugatedSystemSize,y_pred,y_std,n_source_rows,wb97_vert1,wb97_vert2,wb97_vert3,wb97_vert4,wb97_vert5,wb97_osc1,wb97_osc2,wb97_osc3,wb97_osc4,wb97_osc5,tddft_nm__lowest_excitation_(S1),tddft_nm__lowest_bright_(f>=0.01),tddft_nm__brightest_in_1-4_eV,tddft_nm__brightest_overall,scaffold_unseen_vs_training
CN(C)c1ccc(C2=C(c3ccccc3)c3sc4ccccc4[n+]3[B-](F)(F)O2)cc1,446.0,1,420.29300000000006,25,491.2661742844408,118.99790045902957,1,3.543,4.689,4.704,4.937,5.065,1.32920512,0.037925947,0.01108576,0.009821763,0.096206338,349.94127293254303,349.94127293254303,349.94127293254303,349.94127293254303,True
CCCCC1(c2ccccc2)Nc2c(-c3ccc(N(C)c4ccccc4)cc3)ccc(-c3ccc(N(C)c4ccccc4)cc3)c2N=C1c1ccccc1,380.0,1,702.9460000000001,41,442.0233961839714,129.9905596854213,1,3.404,3.933,4.086,4.367,4.446,0.379107802,0.783131048,0.007092969,0.475442806,0.52486008,364.23088425381906,364.23088425381906,315.24076531909486,315.24076531909486,True
CN(C)c1ccc2c(-c3ccc(N)cc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,538.5,2,401.4660000000001,26,507.6113605295853,124.647535622635,1,4.497,4.75,4.784,4.996,5.291,0.064657654,0.002514159,0.216447538,0.013641845,0.184077025,275.7042317100289,275.7042317100289,275.7042317100289,259.16428302675587,True
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2cccc(C#Cc3ccc(-n4c5ccc(C(C)(C)C)cc5c5cc(C(C)(C)C)ccc54)cc3)c2)cc1,342.0,6,833.1759999999999,48,381.8491107944398,94.46886538247436,1,3.997,4.192,4.396,4.398,4.586,2.709571958,0.66292756,0.000995134,0.000570227,0.000912788,310.19312734550914,310.19312734550914,310.19312734550914,310.19312734550914,True
[O-][n+]1c(C=CC=Cc2ccccc2)nc(N2CCOCC2)c2c1CCCC2,400.0,1,363.46100000000024,18,366.9807710119207,127.11196037354428,1,3.293,4.125,4.165,4.601,4.886,0.976449797,0.958597035,0.046214732,0.365447571,0.001682312,376.50832979046464,376.50832979046464,376.50832979046464,376.50832979046464,True
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc3c4ccc(C#Cc5ccc(C=C(C#N)C#N)cc5)cc4n(-c4ccc(C(F)(F)F)cc4)c3c2)cc1,355.0,1,865.0150000000001,54,414.9880764463721,115.50603749905476,1,3.317,3.918,4.005,4.365,4.502,3.758166785,0.248277789,0.110018028,0.03855248,0.110556849,373.78412119384984,373.78412119384984,373.78412119384984,373.78412119384984,True
FC(F)(F)C(F)(F)C(F)(F)c1nc2c(-c3ccsc3)cc3c4cc(-c5ccsc5)c5nc(C(F)(F)C(F)(F)C(F)(F)F)nc6c(-c7ccsc7)cc(c7cc(-c8ccsc8)c(n1)c2c37)c4c56,538.0,1,994.88,46,472.1795615471561,114.09697717834874,1,2.67,3.138,3.414,3.494,3.948,1.378366635,0.231682289,0.000598454,0.263855825,0.006035737,464.3602734082397,464.3602734082397,464.3602734082397,464.3602734082397,True
c1ccc(-n2nc(-c3ccc(-c4ccc5c(c4)C(c4ccccc4)(c4ccccc4)c4ccccc4-5)cc3)nc2-c2ccccn2)cc1,323.0,1,614.7520000000002,35,394.76561833258654,113.06253522525914,1,4.299,4.553,4.704,4.797,4.96,1.871926649,0.139359811,0.066734383,0.118468568,0.042838114,288.4024028843917,288.4024028843917,288.4024028843917,288.4024028843917,True
COc1ccc2c3c(c4ccc(OC)cc4c2c1)C(C)(C)c1c-3ccc2ccccc12,391.0,1,404.5090000000001,26,399.1570180636978,104.31234686524932,1,3.909,3.964,4.241,4.708,5.03,0.209762633,0.24670946,0.033998684,0.086840072,0.384935848,317.17624200562807,317.17624200562807,312.77546165489406,246.48944930417494,True
Nc1ccc2c(c1)oc(=O)c1c(=O)oc3ccccc3c12,424.5,2,279.25100000000003,21,433.57274714454377,99.0923341960563,1,3.877,4.184,4.456,4.614,4.871,0.503901707,0.237051059,0.007427982,0.029020075,0.156011457,319.79415269538305,319.79415269538305,319.79415269538305,319.79415269538305,True
COc1ccccc1-c1nc2c3ccccc3c3ccccc3c2n1-c1ccc(C)cc1,356.3333333333333,3,414.50800000000015,30,333.97898057978466,97.45450682866,1,4.172,4.388,4.795,5.048,5.126,0.09213742,0.24367225,0.248692336,0.047414328,0.083429713,297.18167066155326,297.18167066155326,297.18167066155326,258.56974556830033,False
CCCCc1ccc(-n2c3c4ccc(C(F)(F)F)cc4nnc3c3c2c2nnc4cc(C(F)(F)F)ccc4c2n3-c2ccc(CCCC)cc2)cc1,322.0,1,710.7259999999998,36,372.90013473032747,118.5469202416661,1,3.546,3.552,3.925,4.068,4.141,0.000313452,0.007367034,0.064113532,0.036596236,0.000835796,349.64521432600117,315.88329426751596,315.88329426751596,315.88329426751596,True
c1csc(-n2c3ccccc3c3ccccc32)c1,333.0,1,249.338,18,351.783128702404,95.06896514833636,1,4.479,4.814,4.904,5.405,5.788,0.053251652,0.174925686,0.209242098,0.01915308,0.046626297,276.81221924536726,276.81221924536726,276.81221924536726,252.82257952691683,True
CC(C)(C)c1cc2c3cc(C(C)(C)C)c(-c4cc5cc6c7cccc8cccc(c9cc(C(C)(C)C)cc(c5cc4C(C)(C)C)c96)c87)cc3cc3c4cccc5cccc(c(c1)c23)c54,446.0,1,827.1679999999999,48,503.0476917362496,103.2985333474024,1,3.292,3.379,3.808,3.813,4.195,1.456758138,0.49285509,0.005333535,0.000312571,0.002915288,376.62270048602676,376.62270048602676,376.62270048602676,376.62270048602676,True
CC1(C)c2ccccc2N(c2ccc(-c3cc(C#N)c(C#N)cc3-c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21,384.0,1,694.8820000000003,48,468.0155235065181,107.88073280191826,1,4.031,4.067,4.406,4.41,4.618,0.002422997,0.000162716,0.000357999,0.017976385,0.01055409,307.5767625899281,281.1432947845805,307.5767625899281,281.1432947845805,True
O=[N+]([O-])c1ccc(-c2ccc3ncnc(Nc4ccccc4)c3c2)cc1,346.0,1,342.35800000000006,26,417.11084708535026,99.01896997977052,1,3.931,4.066,4.398,4.431,4.572,0.008447977,0.800881476,0.006618299,0.248325285,0.001509761,315.4011523785296,304.92915150024595,315.4011523785296,304.92915150024595,True
O=C1C=C(Nc2ccc(F)cc2[N+](=O)[O-])C(=O)c2ccccc21,448.0,1,312.256,22,395.78442024990744,113.18707604808482,1,3.253,3.312,3.669,3.816,3.967,0.226681532,0.027625325,0.005109272,0.1005402,0.015482098,381.13800491853675,381.13800491853675,381.13800491853675,381.13800491853675,True
CNC(=O)C(C)NC(=O)c1cccc2c1C#Cc1c(NC(=O)C(NC(C)=O)C(C)C)cccc1OCCCO2,330.0,2,534.6130000000003,22,381.9320075536162,140.46245680129184,1,4.002,4.555,4.625,4.734,5.198,0.608892143,0.062351846,0.011662343,0.020390725,0.004376899,309.80557971014497,309.80557971014497,309.80557971014497,309.80557971014497,True
Cc1ccc(Sc2ccc3ccc4cccc5ccc2c3c45)cc1,352.0,1,324.4480000000001,16,368.1739577354687,107.1597134317202,1,3.853,3.897,4.675,4.727,4.897,0.442095524,0.288109542,0.01284453,0.075599421,0.016921633,321.7861225019465,321.7861225019465,321.7861225019465,321.7861225019465,True
CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2,376.1111111111111,9,253.3449999999999,13,455.02250906858546,106.886686553771,1,3.863,3.99,4.367,5.124,5.409,0.234273484,0.006117336,0.032747552,0.107781017,0.369526226,320.9531271032876,320.9531271032876,320.9531271032876,229.21832686263636,True
COCCC1=Cc2nc1ccc1[nH]c(cc1CCOC)c1nc(c(N)cc3[nH]c2cc3CCOC)C(CCOC)=C1,716.0,1,557.6950000000004,25,412.9497285066169,113.07917698285657,1,2.093,2.426,3.567,3.675,4.035,0.357267763,0.209426435,0.00610906,0.010763274,0.093573379,592.3755040611562,592.3755040611562,592.3755040611562,592.3755040611562,True
CC(=O)c1ccc2cc(C#Cc3cn(C4CC(O)C(CO)O4)c4ncnc(N)c34)ccc2c1,345.2,5,442.4750000000002,24,336.1246108155849,126.72027295190873,1,3.924,3.93,4.156,4.807,5.072,0.001345191,1.38135772,0.012557811,0.293707595,0.069651151,315.96379459734965,315.48140712468194,315.48140712468194,315.48140712468194,True
O=C1C2C3CC(c4c3c(-c3ccccc3)c3ccccc3c4-c3ccccc3)C2C(=O)N1c1cccc2cc3ccccc3cc12,385.0,1,591.7100000000003,22,418.1167948593437,108.44060970005836,1,3.698,4.032,4.451,4.533,4.893,0.181533214,0.000683043,0.002484499,0.30146689,0.027482029,335.2736425094646,335.2736425094646,335.2736425094646,273.514654754026,True
CCC12C(=C3C(=C4c5ccc(-c6ccccc6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccccc3)cc1S2(=O)=O,456.0,1,712.7330000000002,28,406.8930012163514,110.16011284781617,1,2.99,4.404,4.512,4.519,4.569,1.287591874,0.175645184,0.008008724,0.004622058,0.022798011,414.66285284280934,414.66285284280934,414.66285284280934,414.66285284280934,True
COc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4ccc2o4)C=C3)cc1,447.3333333333333,3,697.7510000000002,51,457.74547608918846,107.49053363403034,1,2.159,2.307,3.488,3.571,3.934,0.006071393,0.165185311,2.305779038,2.706081685,0.509697806,574.2667577582215,537.4260641525791,347.1974040884906,347.1974040884906,True
COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3ccc(N(C)C)cc3OC)nc2c1,341.6666666666667,3,455.5110000000002,17,387.4057055597664,127.46126443748088,1,4.23,4.785,5.113,5.66,5.8,1.358760905,0.096320675,0.07346849,0.040282128,0.024115777,293.1068392434988,293.1068392434988,293.1068392434988,293.1068392434988,False
Cc1ccc2nnn(-c3c(C#N)c4c(N)ncnc4n3C3CC(O)C(CO)O3)c2c1,278.0,1,406.4060000000002,21,410.4071767528961,134.70232102150854,1,4.625,5.019,5.205,5.245,5.309,0.514495757,0.060327436,0.016812289,0.040632762,0.18383758,268.0739308108108,268.0739308108108,268.0739308108108,268.0739308108108,True
N#Cc1ccc(-n2c(-c3ccc(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccc(C#N)c6ccccc56)cc4)cc3)nc3c4ccccc4c4ccccc4c32)c2ccccc12,340.0,1,889.034,70,409.2509792503678,107.95425878283088,1,3.725,3.773,3.89,4.163,4.249,0.776317432,0.026957661,1.698044151,5.874e-05,0.125999003,332.8434711409396,332.8434711409396,318.7254318766067,318.7254318766067,True
Cc1cc(C)c([B-]2(c3c(C)cc(C)cc3C)[O+]=P(c3ccccc3)(c3ccccc3)c3cc(-c4ccc(C(C)(C)C)cc4)sc3-c3sc(-c4ccc(C(C)(C)C)cc4)cc32)c(C)c1,409.0,1,879.0369999999998,22,400.1235963786857,126.97041908721933,1,3.23,4.416,4.426,4.6,4.611,1.131563552,0.271680086,0.178191707,0.023722565,0.063512245,383.8519907120743,383.8519907120743,383.8519907120743,383.8519907120743,True
Cc1ccc(-n2c3ccccc3c3cc(-c4ccc5[n+](c4)[B-](F)(F)n4c-5nc5c6ccccc6c6ccccc6c54)ccc32)cc1,444.0,1,598.4650000000001,42,367.72602603337,130.58871725255935,1,3.258,4.172,4.278,4.313,4.458,1.332698239,0.155775416,0.022369114,0.455009574,0.015555282,380.5530785758134,380.5530785758134,380.5530785758134,380.5530785758134,True
CC1(C)Nc2cc3nc4cc(Cl)c(Cl)cc4nc3cc2N1,471.0,1,319.19500000000005,16,450.9184172347299,100.29398338785155,1,3.621,3.709,3.709,4.88,5.168,0.707792337,0.019458342,0.013089855,0.001665636,0.611478369,342.4031842032588,342.4031842032588,342.4031842032588,342.4031842032588,True
COc1cc2c(cc1OC)C1=CC(c3ccc(C)cc3)C3(C(C#N)=C(C#N)N1CC2)c1ccccc1-c1ccccc13,317.0,1,547.6580000000004,17,439.46056548358985,131.6812792932738,1,4.171,4.723,4.764,4.919,4.956,0.178582231,0.401439367,0.038233422,0.167263795,0.071396492,297.25292016303047,297.25292016303047,297.25292016303047,262.5115244547957,True
c1ccc(-c2cc3cccc[n+]3[b-]3c(-c4cccc5[b-]4[n+]4ccccc4cc5-c4ccccc4)cccc32)cc1,449.0,1,508.2420000000002,40,383.16933833615184,109.33965265245148,1,2.761,3.13,3.463,3.698,3.94,0.03101144,0.171388797,0.031555034,0.043769804,0.003513874,449.0553893516842,449.0553893516842,396.11563258785947,396.11563258785947,True
COc1ccc(-n2nc(C#N)c(N3CCCC3)n2)cc1OC,344.0,1,299.334,16,390.84953300073033,113.8355633340179,1,4.252,4.824,5.335,5.727,5.861,0.681039471,0.010702026,0.176595721,0.001143209,0.184238969,291.5902939793039,291.5902939793039,291.5902939793039,291.5902939793039,True
COc1cc2c(cc1C=C(C#N)C#N)c1ccccc1n2C,425.22222222222223,9,287.32200000000006,20,421.3089253096013,97.1881330223099,1,3.766,4.165,4.667,5.06,5.481,0.71290718,0.334105004,0.23288795,1.005953083,0.017557368,329.2198433351036,329.2198433351036,329.2198433351036,245.02804940711465,False
CC(C)(C)c1cc(-c2ccc(-c3cc(C(C)(C)C)cc(C(C)(C)C)c3)cc2)cc(C(C)(C)C)c1,281.0,1,454.74200000000025,18,434.6976198013585,88.38057347643604,1,4.741,4.954,5.083,5.104,5.73,1.369342079,0.000852216,0.001645838,0.003902289,0.001342974,261.51485551571403,261.51485551571403,261.51485551571403,261.51485551571403,False
COc1ccc(OC)c(C=O)c1,351.3076923076923,13,166.176,10,411.96132344002007,85.3309586047404,1,3.809,4.181,5.429,6.319,6.586,0.000212319,0.156040321,0.139023003,0.601381105,3.1177e-05,325.503263323707,296.5419588615164,325.503263323707,196.2085662288337,False
CCC1=C(C)C2=C(C=CSc3ccccc3)c3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,528.0,1,438.3960000000002,13,449.4978844388138,133.2917919806832,1,2.995,3.835,3.893,4.116,4.983,0.743916744,0.079845353,0.470238762,0.123507057,0.00878109,413.9705943238731,413.9705943238731,413.9705943238731,413.9705943238731,True
CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3c(nc12)C1c2ccccc2C3c2ccccc21)(C(C)C)C(C)C,542.0,1,767.2220000000002,22,409.2652586826288,100.07175803371774,1,2.687,3.49,3.574,3.934,4.353,0.445137438,0.00769224,0.139607656,0.084231902,0.096293938,461.422378116859,461.422378116859,461.422378116859,461.422378116859,True
CN(C)c1cc(F)c(C(=O)c2cc(F)c(N(C)C)cc2F)cc1F,358.0,1,340.32,16,474.79780541447184,100.3006765580899,1,3.968,4.29,4.685,4.849,4.952,0.004441599,0.871691725,0.130089206,0.047552561,0.095139622,312.4601638104839,289.0074428904429,312.4601638104839,289.0074428904429,False
Cc1nc2cccc(-c3nc4ccc([N+](=O)[O-])cc4[nH]3)c2c(=O)[nH]1,310.0,1,321.296,23,368.5595720887976,113.56224289406184,1,3.915,3.939,4.389,4.449,4.496,0.924972963,2.62e-07,0.048878508,0.000300187,0.065591358,316.6901481481482,316.6901481481482,316.6901481481482,316.6901481481482,True
CC1=C(c2ccc(N(C)C)cc2)C(C)=[N+]2C1=C(c1c(-c3ccccn3)nc3ccccn13)c1c(C)cc(C)n1[B-]2(F)F,538.0,1,560.4610000000002,33,501.3321773375651,139.0697084979888,1,2.938,3.391,3.659,4.095,4.339,0.932923345,0.057707172,0.121404447,0.056714541,0.217961586,422.00201837985026,422.00201837985026,422.00201837985026,422.00201837985026,True
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]2(OC(C)C)OC(C)C,504.0,1,530.2590000000002,17,363.873718505412,126.96952747820674,1,3.141,3.919,4.209,4.451,4.743,0.654639537,0.069176033,0.051799375,0.005663312,0.001350476,394.72840815027064,394.72840815027064,394.72840815027064,394.72840815027064,True
c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,411.5,2,309.388,24,398.9661521881277,85.30915767955497,1,3.502,4.014,4.321,4.416,4.427,0.632668979,1.010884639,0.02796042,0.02625694,0.049696941,354.0382438606511,354.0382438606511,354.0382438606511,308.87940458395616,True
CC(C)CCCN1c2ccccc2CCc2ccccc21,276.0,2,279.427,13,408.15133406089075,99.58432799538568,1,4.829,5.02,5.082,5.596,5.902,0.033895899,0.195088261,0.027543008,0.106913421,0.027523675,256.7492089459516,256.7492089459516,256.7492089459516,246.98046414342633,False
CN(C)c1ccc(C2=Nc3sc4ccccc4[n+]3[B-](F)(F)O2)cc1,423.2,5,345.183,19,495.5688130108631,110.62957552445576,1,3.849,4.763,4.881,4.981,5.079,1.591683622,0.008982887,0.022504469,2.2676e-05,0.004319748,322.12053260587163,322.12053260587163,322.12053260587163,322.12053260587163,True
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3-c3ccccc3)c(=O)oc2c1,410.0,1,409.48900000000015,27,413.6962031514232,109.03190249955648,1,3.769,4.587,4.809,4.92,5.131,1.32098096,0.033498101,0.056764017,0.032761505,0.002645102,328.95779517113294,328.95779517113294,328.95779517113294,328.95779517113294,True
CC1=CC(C)=[N+]2C1=C(c1ccc(-c3ccc(O)cc3)s1)c1c(C)cc(C)n1[B-]2(F)F,514.0,3,422.30900000000014,23,450.6299800799209,120.1734878298514,1,3.127,3.681,3.955,4.256,4.486,0.787759544,0.007836278,0.066082804,0.03329328,0.942789063,396.49566037735855,396.49566037735855,396.49566037735855,276.38027864467233,True
CC[N+]1(CC)CN2C(=N1)C(C(=O)O)=Cc1cc(OC)c(OC)cc12,392.0,1,332.3800000000001,16,416.2626253319246,122.74371310780916,1,3.628,4.486,4.866,5.311,5.505,0.401241031,0.205191012,0.001900853,0.092380184,0.674712993,341.74253858875414,341.74253858875414,341.74253858875414,225.2210590372389,True
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc3c1n2-c1cc(-c2ccc(F)cc2)cc2c1B3c1cc(C(C)(C)C)cc3c4cc(C(C)(C)C)ccc4n-2c13,469.9,1,734.8119999999999,38,362.7426638491247,121.2387680509253,1,3.505,4.124,4.296,4.307,4.523,0.687991999,0.015103486,0.029313792,1.608e-05,0.002119506,353.7352154065621,353.7352154065621,353.7352154065621,353.7352154065621,True
c1ccc(-c2nc3cc4c(cc3n2-c2ccccc2)nc(-c2ccccc2)n4-c2ccccc2)cc1,330.0,1,462.55600000000015,36,398.061902256669,88.98989879886135,1,4.1,4.428,5.057,5.081,5.082,1.629822737,0.227981676,0.002771443,0.000296341,0.003585387,302.40047073170734,302.40047073170734,302.40047073170734,302.40047073170734,True
CCCCCCc1ccc(-n2c3[n+](c4c5ccccc5c5ccccc5c42)[B-](C)(C)c2ccccc2-3)cc1,360.0,4,494.4910000000002,29,404.67321815723454,130.8442866827615,1,4.118,4.366,4.582,4.917,5.197,0.330098189,0.375710337,0.098009855,0.110504203,0.01794574,301.07866197183097,301.07866197183097,301.07866197183097,283.97662162162163,True
CC(=O)O[B-]1(OC(C)=O)OC(C=CC=Cc2ccccc2)=CC(C=CC=Cc2ccccc2)=[O+]1,472.0,7,456.30300000000017,25,400.39036156290126,116.09127390180808,1,3.095,4.117,4.571,4.692,4.825,3.113495444,0.048382688,0.085729183,0.131534296,0.007868522,400.5951308562197,400.5951308562197,400.5951308562197,400.5951308562197,True
N#Cc1c(-n2nnc3ccccc32)n(C2CC(O)C(CO)O2)c2ncnc(N)c12,278.0,1,392.3790000000002,21,401.76499922905623,131.7886182925565,1,4.518,4.983,5.047,5.217,5.382,0.486706403,0.058594638,0.042296186,0.022345301,0.016622119,274.42273793714037,274.42273793714037,274.42273793714037,274.42273793714037,True
